model,k,metric,mean,ci_low,ci_high
Popularity,5,ndcg,0.11884911771829702,0.10400964014401966,0.13335571151183662
Popularity,5,hit_rate,0.2973593570608496,0.2686280137772675,0.32606199770378874
Popularity,5,recall,0.013198291040425303,0.011412122590727257,0.015146770844886375
Popularity,5,precision,0.11848450057405281,0.10401836969001149,0.1327210103329506
Popularity,10,ndcg,0.09982530060259613,0.08801949753490201,0.11163985836604438
Popularity,10,hit_rate,0.3788748564867968,0.3467278989667049,0.40987370838117104
Popularity,10,recall,0.019932639142522572,0.017334785804249294,0.022643903955217065
Popularity,10,precision,0.09092996555683124,0.08036452353616534,0.10160734787600459
Popularity,20,ndcg,0.08511092628564405,0.07550020759944188,0.09473669854971152
Popularity,20,hit_rate,0.48105625717566014,0.4454649827784156,0.5154994259471871
Popularity,20,recall,0.03245037393799115,0.028729631084087513,0.03654703695419142
Popularity,20,precision,0.07445464982778417,0.06647531572904708,0.08295206659012629
CFColdStart,5,ndcg,0.11884911771829702,0.10400964014401966,0.13335571151183662
CFColdStart,5,hit_rate,0.2973593570608496,0.2686280137772675,0.32606199770378874
CFColdStart,5,recall,0.013198291040425303,0.011412122590727257,0.015146770844886375
CFColdStart,5,precision,0.11848450057405281,0.10401836969001149,0.1327210103329506
CFColdStart,10,ndcg,0.09982530060259613,0.08801949753490201,0.11163985836604438
CFColdStart,10,hit_rate,0.3788748564867968,0.3467278989667049,0.40987370838117104
CFColdStart,10,recall,0.019932639142522572,0.017334785804249294,0.022643903955217065
CFColdStart,10,precision,0.09092996555683124,0.08036452353616534,0.10160734787600459
CFColdStart,20,ndcg,0.08511092628564405,0.07550020759944188,0.09473669854971152
CFColdStart,20,hit_rate,0.48105625717566014,0.4454649827784156,0.5154994259471871
CFColdStart,20,recall,0.03245037393799115,0.028729631084087513,0.03654703695419142
CFColdStart,20,precision,0.07445464982778417,0.06647531572904708,0.08295206659012629
Content,5,ndcg,0.0033137491829029926,0.0013358771132761821,0.005700481663941745
Content,5,hit_rate,0.011481056257175661,0.004592422502870264,0.01951779563719862
Content,5,recall,0.0002439168833413914,9.710260747720201e-05,0.00043625911041396235
Content,5,precision,0.0027554535017221588,0.001148105625717566,0.004822043628013777
Content,10,ndcg,0.0028671149142624323,0.0014493202164112431,0.004641352669677509
Content,10,hit_rate,0.01951779563719862,0.011452353616532749,0.029850746268656716
Content,10,recall,0.0004322618225311279,0.00021030750219994484,0.0006974440399948698
Content,10,precision,0.0024110218140068885,0.0012629161882893227,0.0037887485648679677
Content,20,ndcg,0.002454860886716135,0.0015214488600084819,0.0037333898954832567
Content,20,hit_rate,0.03559127439724455,0.024110218140068886,0.04822043628013777
Content,20,recall,0.0007362089802479291,0.00045022266550333794,0.0010627045072456448
Content,20,precision,0.002066590126291619,0.0013777267508610794,0.0029850746268656717
Hybrid,5,ndcg,0.03163685646737065,0.025990159618534292,0.037546654253901725
Hybrid,5,hit_rate,0.13318025258323765,0.11251435132032148,0.15614236509758897
Hybrid,5,recall,0.0029843798427308305,0.0024206020997874804,0.003622525450435193
Hybrid,5,precision,0.029850746268656716,0.02502870264064294,0.03513203214695752
Hybrid,10,ndcg,0.027781063004975202,0.0236322286538825,0.032342305807796755
Hybrid,10,hit_rate,0.20091848450057406,0.17680826636050517,0.22847301951779564
Hybrid,10,recall,0.0049869755918879296,0.004248786488627669,0.005875772778571597
Hybrid,10,precision,0.02502870264064294,0.021354764638346728,0.02904994259471871
Hybrid,20,ndcg,0.022338234451274017,0.01944262039704164,0.02557672609187701
Hybrid,20,hit_rate,0.2663605051664753,0.23765786452353616,0.29623995407577497
Hybrid,20,recall,0.007412141423074369,0.006407052648626818,0.008508654126930928
Hybrid,20,precision,0.018656716417910446,0.016475315729047074,0.02123995407577497
