model,k,metric,mean,ci_low,ci_high
Popularity,5,ndcg,0.0,0.0,0.0
Popularity,5,hit_rate,0.0,0.0,0.0
Popularity,5,recall,0.0,0.0,0.0
Popularity,5,precision,0.0,0.0,0.0
Popularity,10,ndcg,0.0,0.0,0.0
Popularity,10,hit_rate,0.0,0.0,0.0
Popularity,10,recall,0.0,0.0,0.0
Popularity,10,precision,0.0,0.0,0.0
Popularity,20,ndcg,0.0,0.0,0.0
Popularity,20,hit_rate,0.0,0.0,0.0
Popularity,20,recall,0.0,0.0,0.0
Popularity,20,precision,0.0,0.0,0.0
CFColdStart,5,ndcg,0.0,0.0,0.0
CFColdStart,5,hit_rate,0.0,0.0,0.0
CFColdStart,5,recall,0.0,0.0,0.0
CFColdStart,5,precision,0.0,0.0,0.0
CFColdStart,10,ndcg,0.0,0.0,0.0
CFColdStart,10,hit_rate,0.0,0.0,0.0
CFColdStart,10,recall,0.0,0.0,0.0
CFColdStart,10,precision,0.0,0.0,0.0
CFColdStart,20,ndcg,0.0,0.0,0.0
CFColdStart,20,hit_rate,0.0,0.0,0.0
CFColdStart,20,recall,0.0,0.0,0.0
CFColdStart,20,precision,0.0,0.0,0.0
Content,5,ndcg,0.0027737201555942,0.0009464853735820191,0.0050443227397329255
Content,5,hit_rate,0.009184845005740528,0.003444316877152698,0.016073478760045924
Content,5,recall,0.00022011972954718038,6.884128999198481e-05,0.0004068396504352245
Content,5,precision,0.002296211251435132,0.0009127439724454702,0.004133180252583238
Content,10,ndcg,0.0025166730268460133,0.0011347013507102062,0.004213513435503524
Content,10,hit_rate,0.01722158438576349,0.009184845005740528,0.02640642939150402
Content,10,recall,0.00041282742755069954,0.00019543805046445996,0.0006722160185028118
Content,10,precision,0.0021814006888633756,0.001148105625717566,0.003559127439724455
Content,20,ndcg,0.0021871058183237017,0.0012531798147402623,0.0033939935487756314
Content,20,hit_rate,0.03214695752009185,0.02178530424799084,0.04477611940298507
Content,20,recall,0.0007655442915405614,0.00046671993916162807,0.0011327352099904625
Content,20,precision,0.0018943742824339839,0.0012055109070034443,0.0027554535017221588
Hybrid,5,ndcg,0.018096102529849747,0.013940500390538214,0.0227463371066148
Hybrid,5,hit_rate,0.08151549942594719,0.06544202066590127,0.09988518943742825
Hybrid,5,recall,0.0018884522708657303,0.0014398702845379388,0.002485766409798821
Hybrid,5,precision,0.01859931113662457,0.014695752009184845,0.023191733639494838
Hybrid,10,ndcg,0.016828029287288403,0.013799497108302214,0.020352949688773266
Hybrid,10,hit_rate,0.1354764638346728,0.1148105625717566,0.15958668197474168
Hybrid,10,recall,0.0034063289980686695,0.002778264273286806,0.0041192691785676494
Hybrid,10,precision,0.01653272101033295,0.013777267508610792,0.019862227324913894
Hybrid,20,ndcg,0.014908892840069417,0.012700400928938366,0.017503402131807778
Hybrid,20,hit_rate,0.20780711825487944,0.18369690011481057,0.23536165327210104
Hybrid,20,recall,0.005956501076083232,0.005048021811627167,0.006987599442408385
Hybrid,20,precision,0.013892078071182548,0.012053673938002298,0.016016073478760044
