user_id,k,metric,value,model
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,precision,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,recall,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,ndcg,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,hit_rate,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,precision,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,recall,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,ndcg,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,hit_rate,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,precision,0.05,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,recall,0.023809523809523808,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,ndcg,0.035510009908414325,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,hit_rate,1.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,precision,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,recall,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,ndcg,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,hit_rate,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,precision,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,recall,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,ndcg,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,hit_rate,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,precision,0.1,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,recall,0.08333333333333333,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,ndcg,0.0724860376233926,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,hit_rate,1.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,precision,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,recall,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,ndcg,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,hit_rate,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,precision,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,recall,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,ndcg,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,hit_rate,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,precision,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,recall,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,ndcg,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,hit_rate,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,precision,0.2,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,recall,0.029411764705882353,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,ndcg,0.13120507751234178,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,hit_rate,1.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,precision,0.1,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,recall,0.029411764705882353,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,ndcg,0.08514311764162098,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,hit_rate,1.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,precision,0.05,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,recall,0.029411764705882353,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,ndcg,0.05494858807198588,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,hit_rate,1.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,precision,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,recall,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,ndcg,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,hit_rate,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,precision,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,recall,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,ndcg,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,hit_rate,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,precision,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,recall,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,ndcg,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,hit_rate,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,precision,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,recall,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,ndcg,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,hit_rate,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,precision,0.1,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,recall,0.045454545454545456,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,ndcg,0.06362078819895171,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,hit_rate,1.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,20,precision,0.05,Popularity
