user_id,k,metric,value,model
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,precision,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,recall,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,ndcg,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,hit_rate,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,precision,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,recall,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,ndcg,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,hit_rate,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,precision,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,recall,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,ndcg,0.0,Popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,hit_rate,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,precision,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,recall,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,ndcg,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,hit_rate,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,precision,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,recall,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,ndcg,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,hit_rate,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,precision,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,recall,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,ndcg,0.0,Popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,hit_rate,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,precision,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,recall,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,ndcg,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,hit_rate,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,precision,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,recall,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,ndcg,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,hit_rate,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,precision,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,recall,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,ndcg,0.0,Popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,hit_rate,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,precision,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,recall,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,ndcg,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,hit_rate,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,precision,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,recall,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,ndcg,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,hit_rate,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,precision,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,recall,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,ndcg,0.0,Popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,hit_rate,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,precision,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,recall,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,ndcg,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,5,hit_rate,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,precision,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,recall,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,ndcg,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,10,hit_rate,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,precision,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,recall,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,ndcg,0.0,Popularity
553364404a5a457fbaff2d843133e122c34ca4ce,20,hit_rate,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,precision,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,recall,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,ndcg,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,5,hit_rate,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,precision,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,recall,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,ndcg,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,10,hit_rate,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,20,precision,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,20,recall,0.0,Popularity
886e40a3888059444972108547fd2c65af827fc6,20,ndcg,0.0,Popularity
