model,k,metric,mean,ci_low,ci_high
cf,5,hit_rate,0.355,0.325,0.385
cf,5,ndcg,0.1057,0.0952,0.1169
cf,5,precision,0.095,0.0864,0.1044
cf,5,recall,0.0578,0.0516,0.0642
cf,10,hit_rate,0.496,0.466,0.524
cf,10,ndcg,0.11,0.1006,0.1195
cf,10,precision,0.08,0.0733,0.0864
cf,10,recall,0.0947,0.0864,0.1032
cf,20,hit_rate,0.666,0.634,0.694
cf,20,ndcg,0.1288,0.1197,0.1379
cf,20,precision,0.0651,0.0608,0.0691
cf,20,recall,0.151,0.1408,0.161
content,5,hit_rate,0.002,0.0,0.005
content,5,ndcg,0.0007,0.0,0.0017
content,5,precision,0.0004,0.0,0.001
content,5,recall,0.0001,0.0,0.0004
content,10,hit_rate,0.003,0.0,0.007
content,10,ndcg,0.0005,0.0,0.0012
content,10,precision,0.0003,0.0,0.0007
content,10,recall,0.0002,0.0,0.0004
content,20,hit_rate,0.004,0.0,0.008
content,20,ndcg,0.0005,0.0,0.001
content,20,precision,0.0002,0.0,0.0004
content,20,recall,0.0003,0.0,0.0005
hybrid,5,hit_rate,0.355,0.325,0.385
hybrid,5,ndcg,0.1057,0.0952,0.1169
hybrid,5,precision,0.095,0.0864,0.1044
hybrid,5,recall,0.0578,0.0516,0.0642
hybrid,10,hit_rate,0.497,0.466,0.524
hybrid,10,ndcg,0.1099,0.1008,0.1196
hybrid,10,precision,0.08,0.0734,0.0864
hybrid,10,recall,0.0947,0.0864,0.1031
hybrid,20,hit_rate,0.664,0.632,0.692
hybrid,20,ndcg,0.1283,0.1192,0.1374
hybrid,20,precision,0.0649,0.0605,0.0688
hybrid,20,recall,0.1499,0.1395,0.16
popularity,5,hit_rate,0.086,0.069,0.104
popularity,5,ndcg,0.0199,0.0156,0.0249
popularity,5,precision,0.0196,0.0156,0.0242
popularity,5,recall,0.0111,0.0084,0.0138
popularity,10,hit_rate,0.122,0.103,0.142
popularity,10,ndcg,0.0196,0.0159,0.0236
popularity,10,precision,0.0151,0.0124,0.0178
popularity,10,recall,0.0166,0.0132,0.02
popularity,20,hit_rate,0.178,0.155,0.202
popularity,20,ndcg,0.0238,0.0199,0.028
popularity,20,precision,0.0131,0.0111,0.0152
popularity,20,recall,0.0281,0.0235,0.0326
