user_id,k,metric,value,model
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,precision,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,recall,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,ndcg,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,5,hit_rate,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,precision,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,recall,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,ndcg,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,10,hit_rate,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,precision,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,recall,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,ndcg,0.0,popularity
82270c65d7052ae2cc75791468f0ae64b5f716a6,20,hit_rate,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,5,precision,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,5,recall,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,5,ndcg,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,5,hit_rate,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,10,precision,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,10,recall,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,10,ndcg,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,10,hit_rate,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,20,precision,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,20,recall,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,20,ndcg,0.0,popularity
632df6ce2fdf256d17dab37fdb8e5e898488b50a,20,hit_rate,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,5,precision,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,5,recall,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,5,ndcg,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,5,hit_rate,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,10,precision,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,10,recall,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,10,ndcg,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,10,hit_rate,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,20,precision,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,20,recall,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,20,ndcg,0.0,popularity
eb342b16b291c4781272f35b33e88d7c0d80645f,20,hit_rate,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,precision,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,recall,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,ndcg,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,5,hit_rate,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,precision,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,recall,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,ndcg,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,10,hit_rate,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,precision,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,recall,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,ndcg,0.0,popularity
4ef32acec1c5c906f22dd1e53b143559e91eea48,20,hit_rate,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,precision,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,recall,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,ndcg,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,5,hit_rate,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,precision,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,recall,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,ndcg,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,10,hit_rate,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,precision,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,recall,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,ndcg,0.0,popularity
5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,20,hit_rate,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,precision,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,recall,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,ndcg,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,5,hit_rate,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,precision,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,recall,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,ndcg,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,10,hit_rate,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,precision,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,recall,0.0,popularity
f8bd29dbe4ca899c580e1d9d40764942a71e6f06,20,ndcg,0.0,popularity
