model,k,metric,mean,ci_low,ci_high,protocol
CF,5,ndcg,0.10571710636679225,0.09517836821487925,0.11689934563842479,standard
CF,5,hit_rate,0.355,0.325,0.385,standard
CF,5,recall,0.05776464561524705,0.05160410132278104,0.06420995452407878,standard
CF,10,ndcg,0.10995988964443558,0.10064348613683172,0.11952751068648962,standard
CF,10,hit_rate,0.496,0.46597500000000003,0.524,standard
CF,10,recall,0.09468584306555118,0.08639589262695849,0.10322432005534413,standard
CF,20,ndcg,0.12878036466043613,0.11973434609577253,0.13794004007138871,standard
CF,20,hit_rate,0.666,0.634,0.6940249999999999,standard
CF,20,recall,0.15096639007465332,0.1407837455443557,0.16095374610074056,standard
Hybrid-Adaptive,5,ndcg,0.10571710636679225,0.09517836821487925,0.11689934563842479,standard
Hybrid-Adaptive,5,hit_rate,0.355,0.325,0.385,standard
Hybrid-Adaptive,5,recall,0.05776464561524705,0.05160410132278104,0.06420995452407878,standard
Hybrid-Adaptive,10,ndcg,0.10992460009809778,0.10080025595703661,0.11961756255341928,standard
Hybrid-Adaptive,10,hit_rate,0.497,0.466,0.524,standard
Hybrid-Adaptive,10,recall,0.09468584306555118,0.08639545917679378,0.10305227582689701,standard
Hybrid-Adaptive,20,ndcg,0.12832800192555852,0.1192349558753281,0.1373925595055478,standard
Hybrid-Adaptive,20,hit_rate,0.664,0.632,0.692,standard
Hybrid-Adaptive,20,recall,0.14992472340798663,0.1395192228229667,0.15995075200028225,standard
Hybrid-Fixed0.5,5,ndcg,0.10034826128534768,0.09006461525339905,0.11116836322747793,standard
Hybrid-Fixed0.5,5,hit_rate,0.341,0.312,0.369,standard
Hybrid-Fixed0.5,5,recall,0.055229899440369296,0.04929012284061416,0.061511510690319425,standard
Hybrid-Fixed0.5,10,ndcg,0.10464633464374544,0.09583468077157067,0.11423494268049787,standard
Hybrid-Fixed0.5,10,hit_rate,0.48,0.448,0.51,standard
Hybrid-Fixed0.5,10,recall,0.09052788260495916,0.08251802996813722,0.09875023708488918,standard
Hybrid-Fixed0.5,20,ndcg,0.12305216017709009,0.11408638902978206,0.13213912313378529,standard
